num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,10,14.0,0.55,0.01,5000,0.548109740882199
10,10,14.0,0.775,0.027500000000000004,1000,0.5129135385165762
10,10,14.0,0.775,0.01,500,0.37641365896135304
10,10,14.0,0.775,0.045000000000000005,1000,0.5472486019125633
10,10,14.0,0.775,0.0625,500,0.44048052944390176
10,10,14.0,0.775,0.08,1000,0.558193678267062
10,10,14.0,1.0,0.01,500,0.4102284135236259
10,10,14.0,0.55,0.0625,5000,0.5707787335447776
10,10,14.0,0.55,0.045000000000000005,5000,0.5683667041845203
10,10,14.0,0.775,0.08,500,0.45148863409718887
10,10,14.0,0.775,0.027500000000000004,500,0.43192370200485286
10,10,14.0,0.775,0.01,1000,0.4945049995357563
10,10,14.0,0.55,0.08,500,0.40813717505217345
10,10,14.0,0.55,0.08,5000,0.5707130330712092
10,10,14.0,0.775,0.027500000000000004,5000,0.5888940508178745
10,10,14.0,0.775,0.0625,1000,0.5423027463218746
10,10,14.0,0.775,0.01,5000,0.56878273789684
10,30,4.0,0.1,0.01,1000,0.4858610466234154
10,10,14.0,1.0,0.01,1000,0.4798301403349451
10,10,14.0,0.775,0.0625,5000,0.5992218399167567
10,10,14.0,0.775,0.045000000000000005,5000,0.597666332612575
10,10,14.0,1.0,0.045000000000000005,1000,0.5777132512713254
10,30,4.0,0.1,0.01,500,0.4191347498445114
10,30,4.0,0.1,0.027500000000000004,500,0.3889442188210485
10,10,14.0,0.775,0.08,5000,0.6017800876668854
10,10,14.0,1.0,0.08,1000,0.5701263180805922
10,30,4.0,0.1,0.027500000000000004,1000,0.42997767479024124
10,30,4.0,0.1,0.0625,1000,0.4073652897230078
10,30,4.0,0.1,0.01,5000,0.4590509990590047
10,30,4.0,0.1,0.045000000000000005,500,0.38277247043535384
10,10,14.0,1.0,0.01,5000,0.5657503798876091
10,30,4.0,0.1,0.045000000000000005,1000,0.41806479755097203
10,10,14.0,1.0,0.0625,5000,0.5990038897823093
10,30,4.0,0.1,0.0625,500,0.3572798575626602
10,30,4.0,0.1,0.08,500,0.36456931412991367
